Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
50.9,138.2,48.8,0,34809,20222,35,65,350,5871687,4923,6099
49.6,145.1,54.1,0,42798,26506,38,66,472,5874772,4923,6099
50.2,150.5,62.1,0,44963,23145,28,66,436,5878106,4923,6099
49.9,147.5,55.3,0,34712,24915,46,68,505,5881157,4923,6099
49,299.1,79.9,0,30883,6949,52,372,3436,5883611,4948,6130
49.8,164.3,74.8,0,47820,6661,13,114,599,5884785,4948,6130
49.5,145.5,59.9,0,42093,6412,14,68,602,5886014,4948,6130
48.9,157.2,69.7,0,26095,7419,35,66,437,5887394,4948,6130
49.6,148.2,58.5,0,41754,9713,20,67,541,5888828,4948,6130
48.9,145.7,55.6,0,34288,16820,35,65,423,5890863,4948,6130
48.9,197.2,19.4,0,26446,14377,32,85,1963,5893031,4948,6130
99.7,106.4,1.9,7.1,61826,9502,8,73,348,5894333,4974,6160
43.1,107.1,3.7,0,25183,11944,35,68,559,5896770,4974,6160
52.2,106.6,8.1,0,22460,17084,57,68,696,5899753,4974,6160
51.7,134.5,35.8,0,31187,21064,50,67,700,5902221,4974,6160
53.3,138.7,44.7,0,31455,20021,45,68,509,5904743,4974,6160
52.1,138.6,26.8,0,27773,2659,44,86,3776,5908106,4982,6168
103,105.7,2.5,6.7,57672,1852,8,66,841,5908694,4982,6168
23.7,105.5,3.2,35.9,50400,3014,15,65,462,5909881,4982,6168
27.8,99.5,3.3,33.3,45718,3767,8,65,294,5910716,4982,6168
50.3,98.3,14.4,0,57324,6223,8,65,306,5911685,4982,6168
51.6,140.5,56.2,0,47251,6565,9,65,340,5912732,4982,6168
50,141.6,55.4,0,41897,15449,22,65,283,5914489,4982,6168
52.7,133,45.8,0,58636,23263,21,66,339,5917010,4982,6168
51.4,139.3,51.2,0,66206,29007,24,67,294,5920319,4982,6168
52.1,117.7,29.1,0,68635,35725,29,66,399,5924242,4982,6168
20.4,114.9,3.5,45.8,52831,34493,35,67,491,5931109,4982,6168
50.2,154.5,46.9,0,52459,40114,51,67,497,5935529,4982,6168
51,143.3,27.3,0,28679,34566,100,66,646,5939779,4982,6168
52.9,181.6,67.5,0,51056,3795,86,235,2503,5942342,5030,6241
55.7,140.7,15.9,0,11828,4314,100,85,2096,5945577,5030,6241
95.7,118.5,2.4,7.7,34891,2371,15,65,478,5948638,5030,6241
23.6,108.9,3.3,32,36617,5368,14,65,390,5949942,5030,6241
111,109.2,2.4,5.9,52584,8861,10,67,419,5950998,5030,6241
29.9,116.3,3.3,27.8,19521,13322,45,66,751,5953725,5030,6241
95.6,111.6,3.2,7.4,42642,14450,22,67,568,5955356,5030,6241
27.7,115.7,2.7,33.4,23398,16236,40,66,721,5958986,5030,6241
37.7,120.5,2.5,23.3,19856,15418,57,68,766,5960818,5030,6241
27.4,114.5,2.9,33.6,28924,15952,42,66,626,5963898,5030,6241
76.1,112.6,2.4,10.5,42034,18930,42,67,681,5965756,5030,6241
30.8,111.5,2.5,27.7,31981,17411,34,70,651,5969495,5030,6241
